model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB08b_BDA_CARD_LightGBM,2,64785,792,0.6543785782599013,Bucha|Chernihiv|Chornobaivka|Rubizhne|Trostianets,5
NB08b_BDA_CARD_LightGBM,3,65119,1695,0.6154051377590051,Dmytrivka|Hostomel|Kramatorsk|Lysychansk|Makariv|Volnovakha,6
NB08b_BDA_CARD_LightGBM,4,62750,3091,0.635219524808332,Avdiivka|Irpin|Kherson|Mariupol|Moschun|Okhtyrka,6
ABL_ROLLING_SAR_SAR_ALL,0,170104,238,0.44168760012217245,Kharkiv,1
ABL_ROLLING_SAR_SAR_ALL,1,113042,84,0.37946394319338245,Mykolaiv,1
ABL_ROLLING_SAR_SAR_ALL,2,107068,1628,0.5436699709046542,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
ABL_ROLLING_SAR_SAR_ALL,3,103628,1947,0.512341999402979,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
ABL_ROLLING_SAR_SAR_ALL,4,104753,3435,0.5049037643106936,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_xBD_RGB_ExtraTrees,0,14351,5286,0.5900885666411855,hurricane-michael|sunda-tsunami|woolsey-fire,3
NB08b_xBD_RGB_ExtraTrees,1,14047,2203,0.7137091847520566,hurricane-florence|lower-puna-volcano|pinery-bushfire|portugal-wildfire,4
NB08b_xBD_RGB_ExtraTrees,2,14041,2855,0.7912716139106832,guatemala-volcano|moore-tornado|socal-fire|tuscaloosa-tornado,4
NB08b_xBD_RGB_ExtraTrees,3,14117,7066,0.6548473430587378,hurricane-matthew|mexico-earthquake|nepal-flooding|santa-rosa-wildfire,4
NB08b_xBD_RGB_ExtraTrees,4,14375,5149,0.691634532635673,hurricane-harvey|joplin-tornado|midwest-flooding|palu-tsunami,4
NB08b_BDA_COH_DROP+RGB+CARD_GBM,0,41600,1071,0.7546326696847819,Lysychansk,1
NB08b_BDA_COH_DROP+RGB+CARD_GBM,1,41496,3144,0.7091501567839252,Avdiivka|Mariupol,2
NB08b_BDA_COH_DROP+RGB+CARD_GBM,2,39919,198,0.6900173533629389,Okhtyrka|Volnovakha,2
NB08b_BDA_COH_DROP+RGB+CARD_GBM,3,41859,1189,0.7554782250127852,Dmytrivka|Hostomel|Sievierodonetsk,3
NB08b_BDA_COH_DROP+RGB+CARD_GBM,4,41068,542,0.6911226003515032,Borodyanka|Bucha|Irpin|Moschun,4
R3b_card_ms,0,22615,3311,0.7069013525098058,Mariupol,1
R3b_card_ms,1,10110,1295,0.656208375947457,Avdiivka|Lysychansk|Moschun,3
R3b_card_ms,2,9736,1007,0.6471469105652118,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R3b_card_ms,3,9780,1313,0.6496855180153297,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R3b_card_ms,4,9802,1154,0.6782253578030484,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R4b_tier0_all,0,22615,3311,0.681959078686712,Mariupol,1
R4b_tier0_all,1,7962,1117,0.692459061204978,Lysychansk,1
R4b_tier0_all,2,5002,463,0.6546334455834413,Rubizhne,1
R4b_tier0_all,3,4418,568,0.7553084415584416,Sievierodonetsk,1
R3b_all_multimodal,0,22615,3311,0.7071334087370045,Mariupol,1
R3b_all_multimodal,1,10110,1295,0.6608949294485313,Avdiivka|Lysychansk|Moschun,3
R3b_all_multimodal,2,9736,1007,0.626956134643701,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R3b_all_multimodal,3,9780,1313,0.650597530612779,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R3b_all_multimodal,4,9802,1154,0.6790774797711215,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
E7c_ExtraTrees,0,22615,3311,0.7156974444276029,Mariupol,1
E7c_ExtraTrees,1,10110,1295,0.6622642170571835,Avdiivka|Lysychansk|Moschun,3
E7c_ExtraTrees,2,9736,1007,0.6563355400954914,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
E7c_ExtraTrees,3,9780,1313,0.6537504910197028,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
