model_id,fold_id,n,n_damaged,auc,cities,n_cities
R5_XGBoost_all_multimodal,4,78729,1243,0.8045308638942568,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
R5_GBM_dietrich28,0,170104,238,0.7038141507883576,Kharkiv,1
R5_GBM_dietrich28,1,113042,84,0.6400648597582415,Mykolaiv,1
R5_GBM_dietrich28,2,107068,1628,0.7688947077509293,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
R5_GBM_dietrich28,3,103628,1947,0.6804785692215957,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
R5_GBM_dietrich28,4,104753,3435,0.8485005703431394,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA-Optuna,0,170104,238,0.4480451694647694,Kharkiv,1
NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA-Optuna,1,113042,84,0.5,Mykolaiv,1
NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA-Optuna,2,107068,1628,0.7115728742175061,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA-Optuna,3,103628,1947,0.6115879154110719,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA-Optuna,4,104753,3435,0.8059602603623113,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,0,170104,238,0.7444438656392232,Kharkiv,1
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,1,75995,575,0.5513617423587331,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,2,76892,1371,0.6268744490436968,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,3,78593,3759,0.7058062600743062,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,4,78729,1243,0.7159559293601093,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA-Optuna,0,170104,238,0.5,Kharkiv,1
NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA-Optuna,1,113042,84,0.5,Mykolaiv,1
NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA-Optuna,2,100849,769,0.5093571956479029,Chernihiv|Irpin|Kherson|Trostianets|Volnovakha,5
NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA-Optuna,3,99957,1813,0.6208922010608453,Borodyanka|Chornobaivka|Dmytrivka|Hostomel|Kramatorsk|Lysychansk,6
NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA-Optuna,4,101034,3997,0.555877264564972,Avdiivka|Bucha|Makariv|Mariupol|Moschun|Okhtyrka|Sievierodonetsk,7
CLF_A17_GBM,0,170104,238,0.7256588905916646,Kharkiv,1
CLF_A17_GBM,1,113042,84,0.5,Mykolaiv,1
