model_id,variant_id,n,n_damaged,auc,n_cities,n_folds,TP,FN,FP,TN,is_leaky,is_degenerate
NB08b_BDA_COH_DROP_AdaBoost,dataset=BDA;feature_set=COH_DROP;classifier=AdaBoost,21434,1431,0.5627,12,5,0,1431,0,20003,False,False
B0_single_s1_vh_kurtosis,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.5622,21,1,5074,2258,294224,297039,False,False
B0_single_s1_vv_skewness,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.5614,21,1,4498,2834,277560,313703,False,False
B0_single_s1_vh_std,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.5611,21,1,4409,2923,294889,296374,False,False
NB08b_BDA_CARD_UISEM_voting,dataset=BDA;feature_set=CARD;classifier=UISEM_voting,368288,6431,0.5604,21,5,6,6425,4,361853,False,False
R1_random_cv,nb09a;cell=R1,63243,8247,0.5569,21,5,305,7942,884,54112,False,False
R4b_tier1_card,nb09a;cell=R4b,19020,2282,0.5506,11,5,194,2088,483,16255,False,False
R4_tier1_dietrich28,nb09a;cell=R4,19020,2282,0.5506,11,5,194,2088,483,16255,False,False
B0_single_s1_vv_std,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.5496,21,1,4164,3168,295134,296129,False,False
NB08b_BDA_COH_DROP_RF-200,dataset=BDA;feature_set=COH_DROP;classifier=RF-200,21434,1431,0.5483,12,5,0,1431,7,19996,False,False
NB08b_BDA_CARD_RF-200,dataset=BDA;feature_set=CARD;classifier=RF-200,368288,6431,0.5473,21,5,16,6415,15,361842,False,False
E6_A_impute+obs_card+coh,nan_ablation;strategy=A_impute+obs;modality=card+coh,62043,8080,0.5449,19,5,24,8056,73,53890,False,False
NB08b_BDA_RGB+CARD_UISEM_voting,dataset=BDA;feature_set=RGB+CARD;classifier=UISEM_voting,598595,7332,0.5442,21,5,6,7326,25,591238,False,False
B3_logratio_UI,unsupervised_logratio;sensor=optical;label=UI;direction=|logratio|,3533,407,0.5442,5,1,222,185,1545,1581,False,False
NB08b_BDA_RGB+CARD_RF-200,dataset=BDA;feature_set=RGB+CARD;classifier=RF-200,598595,7332,0.5441,21,5,152,7180,1241,590022,False,False
R3b_card_coh,nb09a;cell=R3b,62043,8080,0.5423,19,5,23,8057,71,53892,False,False
E6_C_SAR_only_no_NaN,nan_ablation;strategy=C_sar_only_no_nan;modality=card+coh,62043,8080,0.5414,19,5,22,8058,69,53894,False,False
ABL_PREPOST_SAR_ALL,scenario=PREPOST_SAR;sensor=ALL;parquet=A13,598595,7332,0.5405,21,5,612,6720,33666,557597,False,False
ABL_FUSION_MS_COH_MS,scenario=FUSION_MS_COH;sensor=MS;parquet=F7,480313,7186,0.5394,19,5,169,7017,19153,453974,False,False
B1_PWTT_VV+VH,unsupervised_pwtt;pol=vv+vh,62151,8013,0.5385,20,1,4360,3653,26716,27422,False,False
NB08b_BRIGHT_all_RF-200,dataset=BRIGHT;feature_set=all;classifier=RF-200,92423,14126,0.5368,14,5,3077,11049,10930,67367,False,False
B4_step2_card+coh,unsupervised_combined;step=step2_card+coh;n_scores=5,51800,6935,0.5368,12,1,3783,3152,22118,22747,False,False
E6_A_impute+obs_card_only,nan_ablation;strategy=A_impute+obs;modality=card_only,62043,8080,0.5361,19,5,161,7919,335,53628,False,False
R3_card_block_stats_A15,nb09a;cell=R3,63243,8247,0.5358,21,5,11,8236,6,54990,False,False
R4b_tier2_card,nb09a;cell=R4b,4226,506,0.5357,6,5,21,485,87,3633,False,False
R4_tier2_dietrich28,nb09a;cell=R4,4226,506,0.5357,6,5,21,485,87,3633,False,False
ABL_PREPOST_MS_MS,scenario=PREPOST_MS;sensor=MS;parquet=A9,480313,7186,0.5356,19,5,167,7019,19164,453963,False,False
ABL_PREPOST_MS_ALL,scenario=PREPOST_MS;sensor=ALL;parquet=A9,480313,7186,0.5356,19,5,167,7019,19164,453963,False,False
CLF_A9_RF_200,classifier=RF_200;parquet=A9,480313,7186,0.5356,19,5,167,7019,19164,453963,False,False
D2_sar-only,ablation=SAR-only (Dietrich equivalent),62043,8080,0.5329,19,5,152,7928,331,53632,False,False
NB08b_BDA_COH_DROP+RGB+CARD_RF-200,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=RF-200,205942,6144,0.532,12,5,253,5891,953,198845,False,False
NB08b_BRIGHT_all_UISEM_voting,dataset=BRIGHT;feature_set=all;classifier=UISEM_voting,92423,14126,0.5316,14,5,1339,12787,2801,75496,False,False
R3b_card_only,nb09a;cell=R3b,62043,8080,0.5313,19,5,164,7916,338,53625,False,False
