experiment,n_rows,n_cities_total,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
B5_UISEM_LightGBM_Optuna_bldg,56090,19,19,0.694945727109639,0.664413688204252,0.6883592015797153,0.06012600793451094,0.00658652552992367
B5_sub_RF_full_F8_bldg,56090,19,19,0.6863352796143602,0.6684595442711596,0.6877328504902591,0.12402702534141087,-0.001397570875898868
NB08b_BDA_COH_DROP+RGB_UISEM_voting,205942,12,12,0.6247775332838771,0.7295710584088348,0.6872196629329165,0.09309949882012448,-0.06244212964903939
E7b_RidgeClassifier,387066,15,15,0.740155972074616,0.740155972074616,0.6868032211505825,0.10982829372955664,0.053352750924033576
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,205942,12,12,0.6475965151072114,0.7205053162512662,0.6865561273052605,0.08975842134902151,-0.03895961219804911
NB08b_BDA_COH_DROP+CARD_UISEM_voting,130789,12,12,0.619354249117956,0.6852428813303321,0.6835850446027165,0.08810982954506584,-0.06423079548476052
CLF_A9_LightGBM,480313,19,19,0.7104707759919224,0.7346284943736674,0.6827538603174821,0.1423775514986192,0.027716915674440346
B5_UISEM_all_features,62043,19,19,0.6546288614879685,0.6342612499671862,0.6820338372268634,0.0985838922232575,-0.027404975738894888
B7_UISEM_all_multimodal,62043,19,19,0.6458528331568587,0.6313826454671866,0.6813479418634525,0.10650863061299151,-0.03549510870659378
B6_UISEM_no_AdaBoost,62043,19,19,0.6458528331568587,0.6313826454671866,0.6813479418634525,0.10650863061299151,-0.03549510870659378
B5_UISEM_XGBoost_Optuna,62043,19,19,0.6643252215535287,0.6411190902980336,0.680667342774956,0.08283472038867258,-0.016342121221427308
B5_UISEM_RF_Optuna_bldg,56090,19,19,0.7052193651974241,0.670847032559307,0.6795070939703907,0.07348327489445347,0.025712271227033456
NB08b_BDA_COH_DROP+CARD_AdaBoost,130789,12,12,0.686816432348238,0.705564439100292,0.6794403035222932,0.08031599998953831,0.007376128825944739
NB08b_BDA_CARD_LogReg,368288,21,21,0.6932105872848352,0.6896980483661007,0.6793942002806833,0.0897365309541492,0.013816387004151887
B3_logratio_NDVI,3533,5,5,0.7368448975934581,0.7368448975934581,0.6793174552251507,0.11114603962028459,0.05752744236830731
E1_stacking_LogReg,387066,15,15,0.6361581549002894,0.6361581549002894,0.6785258511149732,0.13158734632981006,-0.042367696214683837
B3_logratio_SAVI,3533,5,5,0.7406502646425871,0.7406502646425871,0.6780876128425295,0.1153605851283161,0.0625626518000576
NB08b_xBD_RGB_AdaBoost,70931,19,19,0.6434600530779407,0.6434600530779407,0.6780665160398908,0.10272251781129804,-0.034606462961950024
B5_UISEM_Tuned_Voting,62043,19,19,0.6716374764850798,0.6457759644180547,0.6769038805078246,0.07073664970424978,-0.005266404022744808
R5_ExtraTrees_all_multimodal,62043,19,19,0.661729654146965,0.6403187576486971,0.6763288022335092,0.11799422079791372,-0.014599148086544167
NB08b_BDA_COH_DROP+CARD_RF-200,130789,12,12,0.6156181207239313,0.6873640854811933,0.6760103146238422,0.0908658109376595,-0.060392193899910906
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,205942,12,12,0.6557904534198029,0.7097458316772643,0.6751537815238146,0.09432505184495339,-0.019363328104011646
B6_UISEM_Model1_full_F8,62043,19,19,0.6574166008135756,0.6358481514754563,0.6746625410033595,0.08940904727253786,-0.01724594018978398
D4_Mariupol_within_5fold,22615,1,1,0.6746283423637919,,0.6746283423637919,0.0,0.0
B5_UISEM_Model2_full_F8,62043,19,19,0.6495181310516576,0.6337155867654192,0.6735656243034984,0.095678054173403,-0.024047493251840857
CLF_A17_GBM,598595,21,21,0.7989497237763689,0.8069123632513564,0.6735487711808069,0.0992028289788973,0.12540095259556194
R3b_card_ms,62043,19,19,0.6674139303002442,0.6489710574470906,0.6729573999016752,0.10181701484826608,-0.005543469601431039
E7d_MLP_128_64,387066,15,15,0.7153629115379109,0.7153629115379109,0.6726591701180558,0.0907156714594445,0.04270374141985511
B5_sub_RF,62043,19,19,0.6591263692229165,0.6444443615592012,0.6714079838743899,0.11580437859499837,-0.012281614651473483
R5_RF-200_all_multimodal,62043,19,19,0.6591263692229165,0.6444443615592012,0.6714079838743899,0.11580437859499837,-0.012281614651473483
R3_ms_plus_blocks_F8,62043,19,19,0.6591263692229165,0.6444443615592012,0.6714079838743899,0.11580437859499837,-0.012281614651473483
R3b_all_multimodal,62043,19,19,0.6656729409204656,0.6472602818251942,0.6705127229912509,0.11477918884223011,-0.004839782070785281
NB08b_BDA_CARD_ExtraTrees,368288,21,21,0.6440500268718948,0.6726159497667223,0.6702584574746865,0.13952571631499144,-0.026208430602791655
B7_UISEM_card+ms,62043,19,19,0.6540957106106623,0.6334771979156406,0.6702502922399514,0.0981365732949257,-0.016154581629289066
B5_sub_XGB_full_F8_bldg,56090,19,19,0.6254105889838554,0.6095392899933156,0.6694750065624988,0.10517997703229509,-0.04406441757864343
NB08b_BDA_COH_DROP+CARD_XGBoost,130789,12,12,0.6108296729773947,0.6756243717720128,0.6686794210846996,0.09027569059590154,-0.05784974810730492
X_F3_fusion_card_cohdrop_LGBM150_BASELINE,584986,20,20,0.8410882210706746,0.8182403388513391,0.6681831482628742,0.1533096447312816,0.17290507280780043
NB08b_BDA_COH_DROP+CARD_GBM,130789,12,12,0.6050467475819655,0.671180954725028,0.6670060330102047,0.06981869061488877,-0.06195928542823914
E7_LogReg,387066,15,15,0.6551310950496604,0.6551310950496604,0.6664120835092885,0.10944220768056383,-0.011280988459628105
NB08b_BDA_COH_DROP+CARD_ExtraTrees,130789,12,12,0.6101740981482285,0.6876465730799881,0.6658805513732656,0.08813534753791673,-0.05570645322503709
