classifier,manifest_key,param,default,tuned,abs_drift,rel_drift
LightGBM,block_stats,feature_fraction,1.0,0.8382741099748725,-0.1617258900251275,-0.1617258900251275
LightGBM,block_stats,bagging_fraction,1.0,0.677468406645442,-0.32253159335455805,-0.32253159335455805
LightGBM,block_stats,bagging_freq,0.0,3.0,3.0,
RF-200,block_stats,n_estimators,200.0,177.0,-23.0,-0.115
RF-200,block_stats,max_depth,,7.0,,
RF-200,block_stats,min_samples_leaf,3.0,9.0,6.0,2.0
RF-200,block_stats,min_samples_split,2.0,13.0,11.0,5.5
RF-200,block_stats,max_features,sqrt,log2,,
XGBoost,block_stats,n_estimators,200.0,521.0,321.0,1.605
XGBoost,block_stats,max_depth,7.0,10.0,3.0,0.42857142857142855
XGBoost,block_stats,learning_rate,0.1,0.010636066512540286,-0.08936393348745972,-0.8936393348745971
XGBoost,block_stats,min_child_weight,1.0,20.0,19.0,19.0
XGBoost,block_stats,subsample,1.0,0.9162213204002109,-0.08377867959978913,-0.08377867959978913
XGBoost,block_stats,colsample_bytree,1.0,0.6061695553391381,-0.3938304446608619,-0.3938304446608619
XGBoost,block_stats,reg_alpha,0.0,0.36364993441420124,0.36364993441420124,
XGBoost,block_stats,reg_lambda,1.0,0.36680901970686763,-0.6331909802931324,-0.6331909802931324
RF-200,block_stats,n_estimators,200.0,593.0,393.0,1.965
RF-200,block_stats,max_depth,,10.0,,
RF-200,block_stats,min_samples_leaf,3.0,8.0,5.0,1.6666666666666667
RF-200,block_stats,min_samples_split,2.0,11.0,9.0,4.5
RF-200,block_stats,max_features,sqrt,0.5,,
RF-200,composite_prepost_bands,n_estimators,200.0,764.0,564.0,2.82
RF-200,composite_prepost_bands,max_depth,,7.0,,
RF-200,composite_prepost_bands,min_samples_leaf,3.0,18.0,15.0,5.0
RF-200,composite_prepost_bands,min_samples_split,2.0,19.0,17.0,8.5
RF-200,composite_prepost_bands,max_features,sqrt,0.7,,
RF-200,fusion_composite_blockstats,n_estimators,200.0,254.0,54.0,0.27
RF-200,fusion_composite_blockstats,max_depth,,10.0,,
RF-200,fusion_composite_blockstats,min_samples_leaf,3.0,11.0,8.0,2.6666666666666665
RF-200,fusion_composite_blockstats,min_samples_split,2.0,4.0,2.0,1.0
RF-200,fusion_composite_blockstats,max_features,sqrt,log2,,
RF-200,fusion_composite_cohdrop,n_estimators,200.0,314.0,114.0,0.57
RF-200,fusion_composite_cohdrop,max_depth,,7.0,,
RF-200,fusion_composite_cohdrop,min_samples_leaf,3.0,17.0,14.0,4.666666666666667
RF-200,fusion_composite_cohdrop,min_samples_split,2.0,20.0,18.0,9.0
RF-200,fusion_composite_cohdrop,max_features,sqrt,sqrt,,
